IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
0,9,0,0,0,2,,9,,,,
0,9,0,1,0,2,,9,,,,
0,9,0,1,0,2,,9,,,,
1,0,0,0,0,1,1,,,,,
4,0,1,0,0,1,4,,,,,
4,0,1,0,7,11,4,,7,,-7,
1,0,0,1,0,1,1,,,,,
1,0,0,1,0,1,1,,,,,
4,0,1,1,7,11,4,,7,,0,
4,0,1,1,7,11,4,,7,,0,
0,5,1,0,0,2,,5,,,,
0,5,1,0,8,21,,,,,,
0,5,1,1,8,21,,,,,,
0,5,1,1,8,21,,,,,,
0,5,1,1,8,21,,,,,,
0,5,1,1,8,21,,,,,,
6,0,2,0,0,1,6,,,,,
6,0,2,0,9,11,6,,9,,0,
6,0,2,1,9,11,6,,9,,1,
6,0,2,1,9,11,6,,9,,1,
0,3,2,0,0,2,,3,,,,
0,3,2,0,6,21,,,,,,
0,3,2,1,6,21,,,,,,
0,3,2,1,6,21,,,,,,
0,3,2,1,6,21,,,,,,
0,3,2,1,6,21,,,,,,
0,6,3,0,0,2,,6,,,,
0,6,3,0,0,21,,,,,,
0,6,3,1,0,21,,,,,,
0,6,3,1,0,21,,,,,,
0,6,3,1,0,21,,,,,,
0,6,3,1,0,21,,,,,,
4,0,3,0,0,1,4,,,,,
4,0,3,0,8,11,4,,8,,0,
4,0,3,1,8,11,4,,8,,0,
4,0,3,1,8,11,4,,8,,0,
0,9,4,0,0,2,,9,,,,
0,9,4,0,6,21,,,,,,
0,9,4,1,6,21,,,,,,
0,9,4,1,6,21,,,,,,
0,9,4,1,6,21,,,,,,
0,9,4,1,6,21,,,,,,
0,5,5,0,0,2,,5,,,,
0,5,5,0,8,21,,,,,,
0,5,5,1,8,21,,,,,,
0,5,5,1,8,21,,,,,,
0,5,5,1,8,21,,,,,,
0,5,5,1,8,21,,,,,,
0,4,6,0,0,2,,4,,,,
0,4,6,0,7,21,,,,,,
0,4,6,1,7,21,,,,,,
0,4,6,1,7,21,,,,,,
0,4,6,1,7,21,,,,,,
0,4,6,1,7,21,,,,,,
0,0,4,0,0,1,0,,,,,
0,0,4,0,5,11,0,,5,,0,
0,0,4,1,5,11,0,,5,,0,
0,0,4,1,5,11,0,,5,,0,
0,6,7,0,0,2,,6,,,,
0,6,7,0,4,21,,,,,,
0,6,7,1,4,21,,,,,,
0,6,7,1,4,21,,,,,,
0,6,7,1,4,21,,,,,,
0,6,7,1,4,21,,,,,,
4,0,5,0,0,1,4,,,,,
4,0,5,0,8,11,4,,8,,0,
