IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
0,5,0,0,0,2,,5,,,,
0,5,0,0,0,21,,,,,,
0,5,0,1,0,21,,,,,,
0,5,0,1,0,21,,,,,,
0,5,0,1,0,21,,,,,,
0,5,0,1,0,21,,,,,,
8,0,0,0,0,1,8,,,,,
8,0,0,0,0,11,8,,0,,0,
8,0,1,0,0,1,8,,,,,
8,0,1,0,0,11,8,,0,,0,
8,0,0,1,0,11,8,,0,,0,
8,0,0,1,0,11,8,,0,,0,
8,0,1,1,0,11,8,,0,,0,
8,0,1,1,0,11,8,,0,,0,
0,6,1,0,0,2,,6,,,,
0,6,1,0,0,21,,,,,,
0,6,1,1,0,21,,,,,,
0,6,1,1,0,21,,,,,,
0,6,1,1,0,21,,,,,,
0,6,1,1,0,21,,,,,,
0,0,2,0,0,1,0,,,,,
0,0,2,1,0,1,0,,,,,
0,0,2,1,0,1,0,,,,,
0,10,2,0,0,2,,10,,,,
0,10,2,0,0,21,,,,,,
0,10,2,1,0,21,,,,,,
0,10,2,1,0,21,,,,,,
0,10,2,1,0,21,,,,,,
0,10,2,1,0,21,,,,,,
0,8,3,0,0,2,,8,,,,
0,8,3,0,0,21,,,,,,
0,8,3,1,0,21,,,,,,
0,8,3,1,0,21,,,,,,
0,8,3,1,0,21,,,,,,
0,8,3,1,0,21,,,,,,
2,0,3,0,0,1,2,,,,,
2,0,3,1,0,1,2,,,,,
2,0,3,1,0,1,2,,,,,
0,9,4,0,0,2,,9,,,,
0,9,4,0,0,21,,,,,,
0,9,4,1,0,21,,,,,,
0,9,4,1,0,21,,,,,,
0,9,4,1,0,21,,,,,,
0,9,4,1,0,21,,,,,,
0,4,5,0,0,2,,4,,,,
0,4,5,0,0,21,,,,,,
0,4,5,1,0,21,,,,,,
0,4,5,1,0,21,,,,,,
0,4,5,1,0,21,,,,,,
0,4,5,1,0,21,,,,,,
0,6,6,0,0,2,,6,,,,
0,6,6,0,0,21,,,,,,
0,6,6,1,0,21,,,,,,
0,6,6,1,0,21,,,,,,
0,6,6,1,0,21,,,,,,
0,6,6,1,0,21,,,,,,
10,0,4,0,0,1,10,,,,,
10,0,4,1,0,1,10,,,,,
10,0,4,1,0,1,10,,,,,
0,7,7,0,0,2,,7,,,,
0,7,7,0,0,21,,,,,,
0,7,7,1,0,21,,,,,,
0,7,7,1,0,21,,,,,,
0,7,7,1,0,21,,,,,,
0,7,7,1,0,21,,,,,,
10,0,5,0,0,1,10,,,,,
10,0,5,0,0,11,10,,0,,0,
10,0,5,1,0,11,10,,0,,0,
10,0,5,1,0,11,10,,0,,0,
0,2,8,0,0,2,,2,,,,
0,11,9,0,0,2,,11,,,,
0,11,9,0,0,21,,,,,,
0,11,9,1,0,21,,,,,,
0,11,9,1,0,21,,,,,,
0,11,9,1,0,21,,,,,,
0,11,9,1,0,21,,,,,,
5,0,6,0,0,1,5,,,,,
5,0,6,0,0,11,5,,0,,0,
5,0,6,1,0,11,5,,0,,0,
5,0,6,1,0,11,5,,0,,0,
3,0,7,0,0,1,3,,,,,
3,0,7,1,0,1,3,,,,,
3,0,7,1,0,1,3,,,,,
0,3,10,0,0,2,,3,,,,
10,0,8,0,0,1,10,,,,,
10,0,8,0,0,11,10,,0,,0,
10,0,8,1,0,11,10,,0,,0,
10,0,8,1,0,11,10,,0,,0,
11,0,9,0,0,1,11,,,,,
11,0,9,0,0,11,11,,0,,0,
11,0,9,1,0,11,11,,0,,0,
11,0,9,1,0,11,11,,0,,0,
8,0,10,0,0,1,8,,,,,
8,0,10,1,0,1,8,,,,,
8,0,10,1,0,1,8,,,,,
11,0,11,0,0,1,11,,,,,
11,0,11,1,0,1,11,,,,,
11,0,11,1,0,1,11,,,,,
12,0,12,0,0,1,12,,,,,
12,0,12,1,0,1,12,,,,,
12,0,12,1,0,1,12,,,,,
14,0,13,0,0,1,14,,,,,
14,0,13,1,0,1,14,,,,,
14,0,13,1,0,1,14,,,,,
0,12,11,0,0,2,,12,,,,
0,11,12,0,0,2,,11,,,,
1,0,14,0,0,1,1,,,,,
1,0,14,1,0,1,1,,,,,
1,0,14,1,0,1,1,,,,,
0,13,13,0,0,2,,13,,,,
0,13,13,0,0,21,,,,,,
0,13,13,1,0,21,,,,,,
0,13,13,1,0,21,,,,,,
0,13,13,1,0,21,,,,,,
0,13,13,1,0,21,,,,,,
0,13,14,0,0,2,,13,,,,
0,13,14,0,0,21,,,,,,
0,13,14,1,0,21,,,,,,
0,13,14,1,0,21,,,,,,
0,13,14,1,0,21,,,,,,
