IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
0,8,0,0,0,2,,8,,,,
0,8,1,0,0,21,,,,,,
3,0,2,0,0,1,3,,,,,
6,0,3,0,0,1,6,,,,,
0,2,4,0,0,2,,2,,,,
1,0,5,0,0,1,1,,,,,
0,2,6,0,0,2,,2,,,,
0,6,7,0,0,2,,6,,,,
0,6,8,0,0,21,,,,,,
2,0,9,0,0,1,2,,,,,
0,0,10,0,0,2,,0,,,,
0,8,11,0,0,2,,8,,,,
0,4,12,0,0,2,,4,,,,
9,0,13,0,0,1,9,,,,,
0,8,14,0,0,2,,8,,,,
7,0,15,0,0,1,7,,,,,
7,0,16,0,0,11,7,,0,,0,
0,6,17,0,0,2,,6,,,,
0,6,18,0,0,21,,,,,,
0,5,19,0,0,2,,5,,,,
8,0,20,0,0,1,8,,,,,
9,0,21,0,0,1,9,,,,,
9,0,22,0,0,11,9,,0,,0,
0,7,23,0,0,2,,7,,,,
2,0,24,0,0,1,2,,,,,
9,0,25,0,0,1,9,,,,,
9,0,26,0,0,11,9,,0,,0,
2,0,27,0,0,1,2,,,,,
1,0,28,0,0,1,1,,,,,
5,0,29,0,0,1,5,,,,,
7,0,30,0,0,1,7,,,,,
0,7,31,0,0,2,,7,,,,
0,7,32,0,0,21,,,,,,
0,5,33,0,0,2,,5,,,,
9,0,34,0,0,1,9,,,,,
9,0,35,0,0,11,9,,0,,0,
0,9,36,0,0,2,,9,,,,
0,5,37,0,0,2,,5,,,,
5,0,38,0,0,1,5,,,,,
0,3,39,0,0,2,,3,,,,
0,7,40,0,0,2,,7,,,,
0,7,41,0,0,21,,,,,,
9,0,42,0,0,1,9,,,,,
1,0,43,0,0,1,1,,,,,
0,2,44,0,0,2,,2,,,,
3,0,45,0,0,1,3,,,,,
3,0,46,0,0,11,3,,0,,0,
0,7,47,0,0,2,,7,,,,
0,9,48,0,0,2,,9,,,,
0,3,49,0,0,2,,3,,,,
1,0,28,1,0,1,1,,,,,
1,0,28,1,0,1,1,,,,,
0,6,50,0,0,2,,6,,,,
9,0,42,1,0,1,9,,,,,
9,0,42,1,0,1,9,,,,,
0,1,51,0,0,2,,1,,,,
0,1,52,0,0,21,,,,,,
0,3,53,0,0,2,,3,,,,
2,0,27,1,0,1,2,,,,,
2,0,27,1,0,1,2,,,,,
0,6,54,0,0,2,,6,,,,
9,0,35,1,0,11,9,,0,,0,
9,0,35,1,0,11,9,,0,,0,
9,0,34,1,0,1,9,,,,,
9,0,34,1,0,1,9,,,,,
0,7,23,1,0,2,,7,,,,
0,7,23,1,0,2,,7,,,,
0,0,55,0,0,1,0,,,,,
0,0,56,0,0,11,0,,0,,0,
9,0,57,0,0,1,9,,,,,
0,8,58,0,0,2,,8,,,,
0,9,59,0,0,2,,9,,,,
0,1,60,0,0,2,,1,,,,
9,0,61,0,0,1,9,,,,,
8,0,62,0,0,1,8,,,,,
0,9,63,0,0,2,,9,,,,
1,0,64,0,0,1,1,,,,,
1,0,65,0,0,11,1,,0,,0,
1,0,66,0,0,1,1,,,,,
1,0,67,0,0,11,1,,0,,0,
3,0,68,0,0,1,3,,,,,
6,0,69,0,0,1,6,,,,,
3,0,70,0,0,1,3,,,,,
2,0,71,0,0,1,2,,,,,
0,6,72,0,0,2,,6,,,,
0,0,73,0,0,2,,0,,,,
3,0,46,1,0,11,3,,0,,0,
3,0,46,1,0,11,3,,0,,0,
3,0,45,1,0,1,3,,,,,
3,0,45,1,0,1,3,,,,,
0,6,74,0,0,2,,6,,,,
0,8,75,0,0,2,,8,,,,
0,4,76,0,0,2,,4,,,,
3,0,68,1,0,1,3,,,,,
3,0,68,1,0,1,3,,,,,
0,3,77,0,0,2,,3,,,,
0,1,78,0,0,2,,1,,,,
7,0,79,0,0,1,7,,,,,
0,1,80,0,0,2,,1,,,,
0,4,81,0,0,2,,4,,,,
0,0,82,0,0,2,,0,,,,
8,0,83,0,0,1,8,,,,,
4,0,84,0,0,1,4,,,,,
0,3,77,1,0,2,,3,,,,
0,3,77,1,0,2,,3,,,,
5,0,85,0,0,1,5,,,,,
0,9,36,1,0,2,,9,,,,
0,9,36,1,0,2,,9,,,,
0,5,86,0,0,2,,5,,,,
8,0,87,0,0,1,8,,,,,
1,0,88,0,0,1,1,,,,,
0,5,89,0,0,2,,5,,,,
0,1,90,0,0,2,,1,,,,
0,2,91,0,0,2,,2,,,,
6,0,92,0,0,1,6,,,,,
6,0,93,0,0,11,6,,0,,0,
0,3,49,1,0,2,,3,,,,
0,3,49,1,0,2,,3,,,,
0,3,94,0,0,2,,3,,,,
7,0,30,1,0,1,7,,,,,
7,0,30,1,0,1,7,,,,,
1,0,95,0,0,1,1,,,,,
0,3,96,0,0,2,,3,,,,
0,3,97,0,0,21,,,,,,
0,3,39,1,0,2,,3,,,,
0,3,39,1,0,2,,3,,,,
8,0,98,0,0,1,8,,,,,
0,3,99,0,0,2,,3,,,,
0,8,100,0,0,2,,8,,,,
0,4,101,0,0,2,,4,,,,
0,6,102,0,0,2,,6,,,,
0,6,18,1,0,21,,,,,,
0,6,18,1,0,21,,,,,,
0,6,17,1,0,2,,6,,,,
0,6,17,1,0,2,,6,,,,
